Year,Player,Pos,School,Height (month lmao),Wt (lbs),40YD (s),Vertical (in),BenchReps,Broad Jump (in),3Cone (s),Shuttle (s)
2017,Michael Roberts,TE,Toledo,4-Jun,270,4.86,30,,110,7.05,4.51
2017,Josh Reynolds,WR,Texas A&M,3-Jun,194,4.52,37,,124,6.83,4.13
2017,Devine Redding,RB,Indiana,8-May,205,4.76,30.5,16,116,7.18,4.46
2017,Michael Rector,WR,Stanford,Jun-00,193,4.42,36.5,,129,6.77,4.19
2017,James Quick,WR,Louisville,Jun-00,186,4.6,31,11,115,7,4.39
2017,Donnel Pumphrey,RB,San Diego State,8-May,176,4.48,33.5,5,117,,
2017,Hayden Plinke,TE,Texas-El Paso,4-Jun,264,4.97,28,18,109,7.55,4.59
2017,Nathan Peterman,QB,Pittsburgh,2-Jun,226,4.82,31,,110,7.14,4.31
2017,Samaje Perine,RB,Oklahoma,11-May,233,4.65,33,30,116,7.26,4.37
2017,Zach Pascal,WR,Old Dominion,2-Jun,219,4.55,36,14,126,7.11,4.29
2017,Scott Orndoff,TE,Pittsburgh,5-Jun,253,4.84,27,17,112,7.37,4.45
2017,Dare Ogunbowale,RB,Wisconsin,11-May,213,4.65,35,14,120,6.99,4.34
2017,Speedy Noil,WR,Texas A&M,11-May,199,,43.5,18,133,,
2017,David Njoku,TE,Miami (FL),4-Jun,246,4.64,37.5,21,133,6.97,4.34
2017,Drew Morgan,WR,Arkansas,Jun-00,190,4.74,30,10,112,6.85,4.12
2017,Jeremy McNichols,RB,Boise State,9-May,214,4.49,35.5,,121,6.93,4.28
2017,Isaiah McKenzie,WR,Georgia,7-May,173,4.42,36,11,123,6.64,4.15
2017,Elijah McGuire,RB,Louisiana,10-May,214,4.53,36,15,120,7.26,4.56
2017,Christian McCaffrey,RB,Stanford,11-May,202,4.48,37.5,10,121,6.57,4.22
2017,Gabe Marks,WR,Washington State,11-May,189,4.56,29.5,11,117,7.01,4.2
2017,Josh Malone,WR,Tennessee,3-Jun,208,4.4,30.5,10,121,7.05,4.19
2017,Patrick Mahomes,QB,Texas Tech,2-Jun,225,4.8,30,,114,6.88,4.08
2017,Marlon Mack,RB,South Florida,11-May,213,4.5,35.5,15,125,,
2017,Keevan Lucas,WR,Tulsa,9-May,192,4.55,32.5,11,119,7.23,4.43
2017,T.J. Logan,RB,North Carolina,9-May,196,4.37,33.5,17,121,,
2017,Sefo Liufau,QB,Colorado,3-Jun,232,5.08,27,,105,7.32,4.45
2017,Mitch Leidner,QB,Minnesota,3-Jun,226,4.93,34.5,,123,6.96,4.25
2017,Jordan Leggett,TE,Clemson,5-Jun,258,,33,18,114,7.12,4.33
2017,Jerome Lane,WR,Akron,2-Jun,226,4.6,35,16,125,6.87,4.12
2017,Cooper Kupp,WR,Eastern Washington,2-Jun,204,4.62,31,,116,6.75,4.08
2017,Trevor Knight,QB,Texas A&M,1-Jun,219,4.54,35.5,,125,7.04,4.14
2017,DeShone Kizer,QB,Notre Dame,4-Jun,233,4.83,30.5,,107,7.4,4.53
2017,George Kittle,TE,Iowa,4-Jun,247,4.52,35,18,132,,
2017,Alvin Kamara,RB,Tennessee,10-May,214,4.56,39.5,15,131,,
2017,Brad Kaaya,QB,Miami (FL),4-Jun,214,,,,,,
2017,Zay Jones,WR,East Carolina,2-Jun,201,4.45,36.5,15,133,6.79,4.01
2017,Aaron Jones,RB,Texas-El Paso,9-May,208,4.56,37.5,16,127,6.82,4.2
2017,Kareem Hunt,RB,Toledo,10-May,216,4.62,36.5,18,119,,
2017,O.J. Howard,TE,Alabama,6-Jun,251,4.51,30,22,121,6.85,4.16
2017,Bug Howard,WR,North Carolina,4-Jun,221,4.58,37.5,,119,6.95,4.14
2017,Elijah Hood,RB,North Carolina,Jun-00,232,,,18,,,
2017,Mack Hollins,WR,North Carolina,4-Jun,221,4.53,,,,,
2017,Bucky Hodges,TE,Virginia Tech,6-Jun,257,4.57,39,18,134,,4.45
2017,Brian Hill,RB,Wyoming,1-Jun,219,4.54,34,15,125,7.03,4.32
2017,Cole Hikutini,TE,Louisville,4-Jun,247,,,20,,,
2017,Carlos Henderson,WR,Louisiana Tech,11-May,199,4.46,36,13,131,7.18,4.35
2017,Keon Hatcher,WR,Arkansas,1-Jun,212,4.64,,16,,,
2017,Chad Hansen,WR,California,2-Jun,202,4.53,35,11,119,6.74,4.13
2017,Zane Gonzalez,K,Arizona State,Jun-00,202,,,,,,
2017,Kenny Golladay,WR,Northern Illinois,4-Jun,218,4.5,35.5,18,120,7,4.15
2017,Chris Godwin,WR,Penn State,1-Jun,209,4.42,36,19,126,7.01,4
2017,Shelton Gibson,WR,West Virginia,11-May,191,4.5,32,8,118,6.83,4.2
2017,Wayne Gallman,RB,Clemson,Jun-00,215,4.6,29.5,21,120,7.17,4.28
2017,Leonard Fournette,RB,LSU,Jun-00,240,4.51,28.5,,,,
2017,D'Onta Foreman,RB,Texas,Jun-00,233,,,18,,,
2017,Isaiah Ford,WR,Virginia Tech,1-Jun,194,4.61,35.5,14,127,6.94,4.34
2017,Gerald Everett,TE,South Alabama,3-Jun,239,4.62,37.5,22,126,6.99,4.33
2017,Jerod Evans,QB,Virginia Tech,3-Jun,232,4.8,26.5,,112,,4.41
2017,Amba Etta-Tawo,WR,Syracuse,1-Jun,208,4.49,31,14,126,6.95,4.32
2017,Evan Engram,TE,Mississippi,3-Jun,234,4.42,36,19,125,6.92,4.23
2017,Jake Elliott,K,Memphis,9-May,167,4.79,,,,,
2017,Travin Dural,WR,LSU,1-Jun,202,4.57,30.5,,116,7.29,4.55
2017,Malachi Dupre,WR,LSU,2-Jun,196,4.52,39.5,11,135,7.19,4.26
2017,Joshua Dobbs,QB,Tennessee,3-Jun,216,4.64,33,,122,6.75,4.31
2017,Matthew Dayes,RB,North Carolina State,9-May,205,4.47,28,18,109,,
2017,Robert Davis,WR,Georgia State,3-Jun,219,4.44,41,19,136,6.82,4.28
2017,Justin Davis,RB,Southern California,1-Jun,208,,,21,,,
2017,Corey Davis,WR,Western Michigan,3-Jun,209,,,,,,
2017,Amara Darboh,WR,Michigan,2-Jun,214,4.45,36,17,124,,
2017,Darrell Daniels,TE,Washington,3-Jun,247,4.55,32,17,116,7.09,4.47
2017,Dalvin Cook,RB,Florida State,10-May,210,4.49,30.5,22,116,7.27,4.53
2017,James Conner,RB,Pittsburgh,1-Jun,233,4.65,29,20,113,,
2017,Stacy Coley,WR,Miami (FL),1-Jun,195,4.45,34,10,122,,
2017,Tarik Cohen,RB,North Carolina A&T,6-May,179,4.42,31.5,11,118,,
2017,Corey Clement,RB,Wisconsin,10-May,220,4.68,28.5,19,115,,
2017,Jehu Chesson,WR,Michigan,3-Jun,204,4.47,35.5,10,132,6.7,4.09
2017,Cethan Carter,TE,Nebraska,3-Jun,241,4.68,,19,,,
2016,De'Runnya Wilson,WR,Mississippi State,5-Jun,224,4.85,28,,113,,
2016,Jonathan Williams,RB,Arkansas,11-May,220,4.56,,16,,,
2016,Duke Williams,WR,Auburn,2-Jun,229,4.72,30,14,121,7.43,4.47
2016,Bryce Williams,TE,East Carolina,6-Jun,257,4.94,29.5,19,111,7.19,4.53
2016,Brandon Wilds,RB,South Carolina,1-Jun,220,4.54,36.5,21,118,7.08,4.33
2016,Carson Wentz,QB,North Dakota St,5-Jun,237,4.77,30.5,,118,6.86,4.15
2016,Deandre Washington,RB,Texas Tech,8-May,204,4.49,34.5,24,116,7.03,4.2
2016,Dan Vitale,FB,Northwestern,1-Jun,239,4.6,38.5,30,123,7.12,4.12
2016,Nick Vannett,TE,Ohio State,6-Jun,257,4.76,30.5,17,111,7.05,4.2
2016,Soma Vainuku,FB,Southern California,11-May,246,4.68,32,26,108,,
